titre,auteur,isbn,domaine,description,image_url,url_detail
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,978-1-098-12597-4,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=4458
PATTERN RECOGNITION,"Sergios Theodoridis, Konstantinos Koutroumbas",978-1-59749-272-0,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=4457
Deep Learning,Ian Goodfellow Yoshua Bengio and Aaron Courville,978-0-262-33737-3,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=4179
"The Elements of Statistical Learning Data Mining, Inference, and Prediction","Trevor Hastie, Robert Tibshirani, Jerome Friedman",,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=4041
The Deep Learning Revolution,Terrence J. Sejnowski,,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=4040
Bayesian Reasoning and Machine Learning,David Barber,,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=3982
"The Elements of Statistical Learning Data Mining, Inference, and Prediction","Trevor Hastie, Robert Tibshirani et Jerome Friedman",,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=3965
PANORAMA DE L'INTELLIGENCE ARTIFICIELLE : ses bases méthodologiques  ses développements,"Pierre Marquis, Odile Papini et  Henri Prade",978.2.36493.043.8,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=3951
L’Intelligence artificielle en 50 notions clés pour les Nuls,Thomas Solignac,978-2-412-09539-3,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=3947
Intelligence artificielle. Triomphes et déceptions,Melanie Mitchell,978-2-10-083219-4,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=3915
DISCOVERING KNOWLEDGE IN DATA: An Introduction to Data Mining,Daniel T. Larose and Chantal D. Larose,,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=3912
Data Science for Business,Foster Provost and Tom Fawcett,978-1-449-36132-7,Intelligence Artificielle,,,https://bibliothequenumerique.uaconline.edu.cd/etatouvrage.php?idouvrage=3911
